"school","minrty","sx","ses","mAch","meanses","sector","cses","intercept","female"
"1224","No","Female",-1.528,5.876,-0.434382978723404,"Public",-1.0936170212766,1,0
"1224","No","Female",-0.588,19.708,-0.434382978723404,"Public",-0.153617021276596,1,0
"1224","No","Male",-0.528,20.349,-0.434382978723404,"Public",-0.0936170212765958,1,1
"1224","No","Male",-0.668,8.781,-0.434382978723404,"Public",-0.233617021276596,1,1
"1224","No","Male",-0.158,17.898,-0.434382978723404,"Public",0.276382978723404,1,1
"1224","No","Male",0.022,4.583,-0.434382978723404,"Public",0.456382978723404,1,1
"1224","No","Female",-0.618,-2.832,-0.434382978723404,"Public",-0.183617021276596,1,0
"1224","No","Male",-0.998,0.523,-0.434382978723404,"Public",-0.563617021276596,1,1
"1224","No","Female",-0.888,1.527,-0.434382978723404,"Public",-0.453617021276596,1,0
"1224","No","Male",-0.458,21.521,-0.434382978723404,"Public",-0.0236170212765958,1,1
"1224","No","Female",-1.448,9.475,-0.434382978723404,"Public",-1.0136170212766,1,0
"1224","No","Female",-0.658,16.057,-0.434382978723404,"Public",-0.223617021276596,1,0
"1224","No","Male",-0.468,21.178,-0.434382978723404,"Public",-0.0336170212765958,1,1
"1224","No","Female",-0.988,20.178,-0.434382978723404,"Public",-0.553617021276596,1,0
"1224","No","Male",0.332,20.349,-0.434382978723404,"Public",0.766382978723404,1,1
"1224","No","Female",-0.678,20.508,-0.434382978723404,"Public",-0.243617021276596,1,0
"1224","No","Male",-0.298,19.338,-0.434382978723404,"Public",0.136382978723404,1,1
"1224","Yes","Male",-1.528,4.145,-0.434382978723404,"Public",-1.0936170212766,1,1
"1224","No","Female",0.042,2.927,-0.434382978723404,"Public",0.476382978723404,1,0
"1224","No","Male",-0.078,16.405,-0.434382978723404,"Public",0.356382978723404,1,1
"1224","No","Female",0.062,13.653,-0.434382978723404,"Public",0.496382978723404,1,0
"1224","No","Female",-0.128,6.558,-0.434382978723404,"Public",0.306382978723404,1,0
"1224","No","Female",0.472,9.653,-0.434382978723404,"Public",0.906382978723404,1,0
"1224","No","Male",-0.468,3.154,-0.434382978723404,"Public",-0.0336170212765958,1,1
"1224","Yes","Female",-1.248,4.753,-0.434382978723404,"Public",-0.813617021276596,1,0
"1224","No","Male",-0.628,21.721,-0.434382978723404,"Public",-0.193617021276596,1,1
"1224","No","Female",0.832,5.166,-0.434382978723404,"Public",1.2663829787234,1,0
"1224","No","Female",-0.568,6.399,-0.434382978723404,"Public",-0.133617021276596,1,0
"1224","No","Female",-0.258,6.821,-0.434382978723404,"Public",0.176382978723404,1,0
"1224","No","Female",-0.138,9.255,-0.434382978723404,"Public",0.296382978723404,1,0
